observability_agent  | 2026/05/12 05:07:40 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.size value=0
observability_agent  | 2026/05/12 05:07:40 INFO metric buffered service=python-service metric=otel.sdk.metric_reader.collection.duration value=0
observability_agent  | 2026/05/12 05:07:40 INFO metric buffered service=python-service metric=asyncio.process.duration value=0
observability_agent  | 2026/05/12 05:07:40 INFO metric buffered service=python-service metric=asyncio.process.created value=1
observability_agent  | 2026/05/12 05:07:40 INFO metric buffered service=python-service metric=http.server.active_requests value=0
observability_agent  | 2026/05/12 05:07:40 INFO metric buffered service=python-service metric=http.server.duration value=0
observability_agent  | 2026/05/12 05:07:40 INFO metric buffered service=python-service metric=http.server.response.size value=0
observability_agent  | 2026/05/12 05:08:14 INFO flushed spans=0 metrics=12 duration_ms=12 at=2026-05-12T05:08:14Z
observability_agent  | 2026/05/12 05:08:41 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.capacity value=2048
observability_agent  | 2026/05/12 05:08:41 INFO metric buffered service=python-service metric=otel.sdk.span.started value=161
observability_agent  | 2026/05/12 05:08:41 INFO metric buffered service=python-service metric=otel.sdk.span.live value=0
observability_agent  | 2026/05/12 05:08:41 INFO metric buffered service=python-service metric=otel.sdk.processor.span.processed value=558
observability_agent  | 2026/05/12 05:08:41 INFO metric buffered service=python-service metric=otel.sdk.processor.span.queue.size value=3
observability_agent  | 2026/05/12 05:08:41 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.size value=0
observability_agent  | 2026/05/12 05:08:41 INFO metric buffered service=python-service metric=otel.sdk.metric_reader.collection.duration value=0
observability_agent  | 2026/05/12 05:08:41 INFO metric buffered service=python-service metric=asyncio.process.duration value=0
observability_agent  | 2026/05/12 05:08:41 INFO metric buffered service=python-service metric=asyncio.process.created value=1
observability_agent  | 2026/05/12 05:08:41 INFO metric buffered service=python-service metric=http.server.active_requests value=0
observability_agent  | 2026/05/12 05:08:41 INFO metric buffered service=python-service metric=http.server.duration value=0
observability_agent  | 2026/05/12 05:08:41 INFO metric buffered service=python-service metric=http.server.response.size value=0
observability_agent  | 2026/05/12 05:09:15 INFO flushed spans=0 metrics=12 duration_ms=12 at=2026-05-12T05:09:15Z
observability_agent  | 2026/05/12 05:09:42 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.capacity value=2048
observability_agent  | 2026/05/12 05:09:42 INFO metric buffered service=python-service metric=otel.sdk.span.started value=166
observability_agent  | 2026/05/12 05:09:42 INFO metric buffered service=python-service metric=otel.sdk.span.live value=0
observability_agent  | 2026/05/12 05:09:42 INFO metric buffered service=python-service metric=otel.sdk.processor.span.processed value=576
observability_agent  | 2026/05/12 05:09:42 INFO metric buffered service=python-service metric=otel.sdk.processor.span.queue.size value=0
observability_agent  | 2026/05/12 05:09:42 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.size value=0
observability_agent  | 2026/05/12 05:09:42 INFO metric buffered service=python-service metric=otel.sdk.metric_reader.collection.duration value=0
observability_agent  | 2026/05/12 05:09:42 INFO metric buffered service=python-service metric=asyncio.process.duration value=0
observability_agent  | 2026/05/12 05:09:42 INFO metric buffered service=python-service metric=asyncio.process.created value=1
observability_agent  | 2026/05/12 05:09:42 INFO metric buffered service=python-service metric=http.server.active_requests value=0
observability_agent  | 2026/05/12 05:09:42 INFO metric buffered service=python-service metric=http.server.duration value=0
observability_agent  | 2026/05/12 05:09:42 INFO metric buffered service=python-service metric=http.server.response.size value=0
observability_agent  | 2026/05/12 05:10:15 INFO flushed spans=0 metrics=12 duration_ms=3 at=2026-05-12T05:10:15Z
observability_agent  | 2026/05/12 05:10:43 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.capacity value=2048
observability_agent  | 2026/05/12 05:10:43 INFO metric buffered service=python-service metric=otel.sdk.span.started value=172
observability_agent  | 2026/05/12 05:10:43 INFO metric buffered service=python-service metric=otel.sdk.span.live value=0
observability_agent  | 2026/05/12 05:10:43 INFO metric buffered service=python-service metric=otel.sdk.processor.span.processed value=594
observability_agent  | 2026/05/12 05:10:43 INFO metric buffered service=python-service metric=otel.sdk.processor.span.queue.size value=0
observability_agent  | 2026/05/12 05:10:43 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.size value=0
observability_agent  | 2026/05/12 05:10:43 INFO metric buffered service=python-service metric=otel.sdk.metric_reader.collection.duration value=0
observability_agent  | 2026/05/12 05:10:43 INFO metric buffered service=python-service metric=asyncio.process.duration value=0
observability_agent  | 2026/05/12 05:10:43 INFO metric buffered service=python-service metric=asyncio.process.created value=1
observability_agent  | 2026/05/12 05:10:43 INFO metric buffered service=python-service metric=http.server.active_requests value=0
observability_agent  | 2026/05/12 05:10:43 INFO metric buffered service=python-service metric=http.server.duration value=0
observability_agent  | 2026/05/12 05:10:43 INFO metric buffered service=python-service metric=http.server.response.size value=0
observability_agent  | 2026/05/12 05:11:17 INFO flushed spans=0 metrics=12 duration_ms=5 at=2026-05-12T05:11:17Z
observability_agent  | 2026/05/12 05:11:44 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.capacity value=2048
observability_agent  | 2026/05/12 05:11:44 INFO metric buffered service=python-service metric=otel.sdk.span.started value=178
observability_agent  | 2026/05/12 05:11:44 INFO metric buffered service=python-service metric=otel.sdk.span.live value=0
observability_agent  | 2026/05/12 05:11:44 INFO metric buffered service=python-service metric=otel.sdk.processor.span.processed value=612
observability_agent  | 2026/05/12 05:11:44 INFO metric buffered service=python-service metric=otel.sdk.processor.span.queue.size value=0
observability_agent  | 2026/05/12 05:11:44 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.size value=0
observability_agent  | 2026/05/12 05:11:44 INFO metric buffered service=python-service metric=otel.sdk.metric_reader.collection.duration value=0
observability_agent  | 2026/05/12 05:11:44 INFO metric buffered service=python-service metric=asyncio.process.duration value=0
observability_agent  | 2026/05/12 05:11:44 INFO metric buffered service=python-service metric=asyncio.process.created value=1
observability_agent  | 2026/05/12 05:11:44 INFO metric buffered service=python-service metric=http.server.active_requests value=0
observability_agent  | 2026/05/12 05:11:44 INFO metric buffered service=python-service metric=http.server.duration value=0
observability_agent  | 2026/05/12 05:11:44 INFO metric buffered service=python-service metric=http.server.response.size value=0
observability_agent  | 2026/05/12 05:12:18 INFO flushed spans=0 metrics=12 duration_ms=11 at=2026-05-12T05:12:18Z
observability_agent  | 2026/05/12 05:12:45 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.capacity value=2048
observability_agent  | 2026/05/12 05:12:45 INFO metric buffered service=python-service metric=otel.sdk.span.started value=184
observability_agent  | 2026/05/12 05:12:45 INFO metric buffered service=python-service metric=otel.sdk.span.live value=0
